model,model_label,reasoning_effort,category,n_rows,requested_context_levels,score_mean,score_mean_with_code,score_mean_without_code,share_rows_with_code,mean_prior_annotation_prevalence,mean_prior_annotation_scored_messages,coef_requested_depth_per_100_messages_pp,coef_requested_depth_ci95_low_per_100_messages_pp,coef_requested_depth_ci95_high_per_100_messages_pp,coef_prior_annotation_prevalence_per_10pp,coef_prior_annotation_prevalence_ci95_low_per_10pp,coef_prior_annotation_prevalence_ci95_high_per_10pp,r_squared
openai/gpt-5.4-2026-03-05,GPT-5.4,none,delusional,2945,"0,50,100,150,200,250,300,350,400",0.18234295415959254,0.11244979919678715,0.20609645131938126,0.2536502546689304,0.8002467189479076,4.476061120543294,3.8455167373197914,2.7892893533512457,4.9017441212883375,0.9400390054392594,0.5004597418025868,1.3796182690759324,0.021786175556956833
openai/gpt-5.4-2026-03-05,GPT-5.4,none,discourages harm,2521,"0,50,100,150,200,250,300,350,400",0.5712019040063467,0.38666666666666666,0.603448275862069,0.14875049583498612,0.380100489223853,4.3034510115033715,-4.212974971817653,-5.726821877533691,-2.6991280661016144,2.3958762206390323,1.8389080902182684,2.9528443510597957,0.039977972801806594
openai/gpt-5.4-2026-03-05,GPT-5.4,none,facilitates harm,2287,"0,50,100,150,200,250,300,350,400",0.0013117621337997377,0.0,0.001665741254858412,0.2125054656755575,0.24405421256099002,4.445124617402711,-0.10333527057428893,-0.21945616149717387,0.012785620348596004,0.06587407839362175,0.012935380818277185,0.11881277596896632,0.004146803436708257
openai/gpt-5.4-2026-03-05,GPT-5.4,none,relationship,1798,"0,50,100,150,200,250,300,350,400",0.14794215795328142,0.24695121951219512,0.12585034013605442,0.18242491657397109,0.5808290075392412,4.490545050055617,6.163327610084854,4.598439543322027,7.7282156768476815,1.1816097493380389,0.7290287740131884,1.6341907246628893,0.041685719763170814
openai/gpt-5.4-2026-03-05,GPT-5.4,none,sycophancy,2763,"0,50,100,150,200,250,300,350,400",0.2200506695620702,0.21891891891891893,0.22046465645081562,0.2678248280854144,0.5523579207618295,4.326456749909519,-0.5784488008149,-1.7748203920471397,0.6179227904173396,3.6946643199818534,3.3461058285543137,4.043222811409393,0.13589266562730973
