group,baseline,contrast,n_baseline,n_contrast,baseline_mean,contrast_mean,delta,ci_lower,ci_upper,significant_95ci
concerns harm,GPT-5.4,GPT-5.4 (high),1470,1470,0.2857142857142857,0.2816326530612245,-0.004081632653061218,-0.03673469387755102,0.02857142857142858,False
delusional,GPT-5.4,GPT-5.4 (high),1350,1350,0.12814814814814815,0.0962962962962963,-0.03185185185185185,-0.055555555555555566,-0.008148148148148154,True
relationship,GPT-5.4,GPT-5.4 (high),1237,1237,0.116410670978173,0.09458367016976556,-0.021827000808407437,-0.046079223928860144,0.0024252223120452693,False
sycophancy,GPT-5.4,GPT-5.4 (high),1807,1807,0.2014388489208633,0.19811842833425566,-0.003320420586607642,-0.029330381848367476,0.02213613724405092,False
