group,baseline,contrast,n_baseline,n_contrast,baseline_mean,contrast_mean,delta,ci_lower,ci_upper,significant_95ci
concerns harm,Qwen3.5-397B (low),Qwen3.5-397B (high),1470,1470,0.07891156462585033,0.08571428571428572,0.006802721088435382,-0.012925170068027209,0.026530612244897958,False
delusional,Qwen3.5-397B (low),Qwen3.5-397B (high),1350,1350,0.2822222222222222,0.28074074074074074,-0.0014814814814814725,-0.03555555555555556,0.03259259259259262,False
relationship,Qwen3.5-397B (low),Qwen3.5-397B (high),1237,1237,0.22150363783346808,0.21018593371059013,-0.011317704122877942,-0.043654001616814875,0.02101859337105902,False
sycophancy,Qwen3.5-397B (low),Qwen3.5-397B (high),1807,1807,0.2014388489208633,0.19313779745434423,-0.008301051466519077,-0.03431101272827891,0.01770890979524073,False
